FID,longitude,latitude,cell_num,cell_area,gpcp_cid,CID,BASIN,AREA,ntsctarea,area_frc
0,83.250000000000000,30.750000000000000,39488,2654.077392579999900,21324.000000000000000,497821,34,773.266334297999950,773.266334297999950,1.000000000000000
1,92.750000000000000,30.750000000000000,39507,2654.077392579999900,21333.000000000000000,497855,34,773.266334297999950,59.788634095299997,0.077319587629000
2,93.250000000000000,30.750000000000000,39508,2654.077392579999900,21334.000000000000000,497855,34,773.266334297999950,713.477700203000040,0.922680412371000
3,93.250000000000000,30.750000000000000,39508,2654.077392579999900,21334.000000000000000,497856,34,773.266334297999950,615.158613024000030,0.795532646048000
4,93.250000000000000,30.750000000000000,39508,2654.077392579999900,21334.000000000000000,499095,34,771.301274286999960,11.927339292899999,0.015463917525500
5,93.750000000000000,30.750000000000000,39509,2654.077392579999900,21334.000000000000000,497856,34,773.266334297999950,158.107721274000000,0.204467353952000
6,93.750000000000000,30.750000000000000,39509,2654.077392579999900,21334.000000000000000,497858,34,773.266334297999950,399.919530280999990,0.517182130584000
7,93.750000000000000,30.750000000000000,39509,2654.077392579999900,21334.000000000000000,499095,34,771.301274286999960,759.373934994000020,0.984536082474000
8,94.250000000000000,30.750000000000000,39510,2654.077392579999900,21335.000000000000000,497858,34,773.266334297999950,373.346804017000010,0.482817869416000
9,82.250000000000000,30.250000000000000,39819,2667.481201170000100,21323.000000000000000,495331,34,771.810969277000030,771.810969277000030,1.000000000000000
10,82.250000000000000,30.250000000000000,39819,2667.481201170000100,21323.000000000000000,495332,34,771.810969277000030,417.952998933999990,0.541522491350000
11,82.750000000000000,30.250000000000000,39820,2667.481201170000100,21323.000000000000000,495332,34,771.810969277000030,353.857970342999980,0.458477508650000
12,82.750000000000000,30.250000000000000,39820,2667.481201170000100,21323.000000000000000,495333,34,771.810969277000030,771.810969277000030,1.000000000000000
13,82.750000000000000,30.250000000000000,39820,2667.481201170000100,21323.000000000000000,495334,34,771.810969277000030,209.644156014999990,0.271626297578000
14,82.750000000000000,30.250000000000000,39820,2667.481201170000100,21323.000000000000000,496578,34,772.552685692999940,769.888710913999940,0.996551724137000
15,82.750000000000000,30.250000000000000,39820,2667.481201170000100,21323.000000000000000,496579,34,772.552685692999940,269.061452604000010,0.348275862070000
16,83.250000000000000,30.250000000000000,39821,2667.481201170000100,21324.000000000000000,495334,34,771.810969277000030,562.166813262000010,0.728373702422000
17,83.250000000000000,30.250000000000000,39821,2667.481201170000100,21324.000000000000000,495335,34,771.810969277000030,771.810969277000030,1.000000000000000
18,83.250000000000000,30.250000000000000,39821,2667.481201170000100,21324.000000000000000,495336,34,771.810969277000030,1.335313095820000,0.001730103806470
19,83.250000000000000,30.250000000000000,39821,2667.481201170000100,21324.000000000000000,496579,34,772.552685692999940,500.827258310999980,0.648275862069000
20,83.250000000000000,30.250000000000000,39821,2667.481201170000100,21324.000000000000000,496580,34,772.552685692999940,772.552685692999940,1.000000000000000
21,83.250000000000000,30.250000000000000,39821,2667.481201170000100,21324.000000000000000,496581,34,772.552685692999940,58.607445121399998,0.075862068965300
22,83.750000000000000,30.250000000000000,39822,2667.481201170000100,21324.000000000000000,495336,34,771.810969277000030,770.475656180999980,0.998269896193000
23,83.750000000000000,30.250000000000000,39822,2667.481201170000100,21324.000000000000000,495337,34,771.810969277000030,564.837439453999990,0.731833910035000
24,83.750000000000000,30.250000000000000,39822,2667.481201170000100,21324.000000000000000,496581,34,772.552685692999940,713.945240571000000,0.924137931034000
25,83.750000000000000,30.250000000000000,39822,2667.481201170000100,21324.000000000000000,496582,34,772.552685692999940,618.042148554000050,0.799999999999000
26,86.750000000000000,30.250000000000000,39828,2667.481201170000100,21327.000000000000000,496592,34,772.552685692999940,772.552685692999940,1.000000000000000
27,87.750000000000000,30.250000000000000,39830,2667.481201170000100,21328.000000000000000,495350,34,771.810969277000030,771.810969277000030,1.000000000000000
28,87.750000000000000,30.250000000000000,39830,2667.481201170000100,21328.000000000000000,496596,34,772.552685692999940,463.531611415999980,0.600000000000000
29,88.250000000000000,30.250000000000000,39831,2667.481201170000100,21329.000000000000000,495352,34,771.810969277000030,771.810969277000030,1.000000000000000
30,88.250000000000000,30.250000000000000,39831,2667.481201170000100,21329.000000000000000,495353,34,771.810969277000030,239.021044119000010,0.309688581315000
31,88.250000000000000,30.250000000000000,39831,2667.481201170000100,21329.000000000000000,496596,34,772.552685692999940,309.021074277000030,0.400000000000000
32,88.250000000000000,30.250000000000000,39831,2667.481201170000100,21329.000000000000000,496597,34,772.552685692999940,772.552685692999940,1.000000000000000
33,88.250000000000000,30.250000000000000,39831,2667.481201170000100,21329.000000000000000,496598,34,772.552685692999940,250.413629156000010,0.324137931035000
34,88.750000000000000,30.250000000000000,39832,2667.481201170000100,21329.000000000000000,495353,34,771.810969277000030,532.789925157999960,0.690311418685000
35,88.750000000000000,30.250000000000000,39832,2667.481201170000100,21329.000000000000000,495354,34,771.810969277000030,771.810969277000030,1.000000000000000
36,88.750000000000000,30.250000000000000,39832,2667.481201170000100,21329.000000000000000,495355,34,771.810969277000030,30.712201199599999,0.039792387543200
37,88.750000000000000,30.250000000000000,39832,2667.481201170000100,21329.000000000000000,496598,34,772.552685692999940,522.139056536999990,0.675862068965000
38,88.750000000000000,30.250000000000000,39832,2667.481201170000100,21329.000000000000000,496599,34,772.552685692999940,772.552685691999950,0.999999999999000
39,89.250000000000000,30.250000000000000,39833,2667.481201170000100,21330.000000000000000,495355,34,771.810969277000030,741.098768078000030,0.960207612458000
40,90.250000000000000,30.250000000000000,39835,2667.481201170000100,21331.000000000000000,495359,34,771.810969277000030,771.810969277000030,1.000000000000000
