cell_num,arc_id,longitude,latitude
1.0,1.0,-37.75,83.75
2.0,2.0,-37.25,83.75
3.0,3.0,-36.75,83.75
4.0,4.0,-36.25,83.75
5.0,5.0,-35.75,83.75
6.0,6.0,-35.25,83.75
7.0,7.0,-34.75,83.75
8.0,8.0,-34.25,83.75
9.0,9.0,-33.75,83.75
10.0,10.0,-33.25,83.75
11.0,11.0,-32.75,83.75
12.0,12.0,-32.25,83.75
13.0,13.0,-31.75,83.75
14.0,14.0,-31.25,83.75
15.0,15.0,-30.75,83.75
16.0,16.0,-30.25,83.75
17.0,17.0,-29.75,83.75
18.0,18.0,-29.25,83.75
19.0,19.0,-28.75,83.75
20.0,20.0,-72.25,83.25
21.0,21.0,-71.75,83.25
22.0,22.0,-70.75,83.25
23.0,23.0,-70.25,83.25
24.0,24.0,-69.75,83.25
25.0,25.0,-46.75,83.25
26.0,26.0,-46.25,83.25
27.0,27.0,-45.75,83.25
28.0,28.0,-45.25,83.25
29.0,29.0,-44.75,83.25
30.0,30.0,-44.25,83.25
31.0,31.0,-43.75,83.25
32.0,32.0,-43.25,83.25
33.0,33.0,-42.75,83.25
34.0,34.0,-42.25,83.25
35.0,35.0,-41.75,83.25
36.0,36.0,-41.25,83.25
37.0,37.0,-40.75,83.25
38.0,38.0,-40.25,83.25
39.0,39.0,-39.75,83.25
40.0,40.0,-39.25,83.25
41.0,41.0,-38.75,83.25
42.0,42.0,-38.25,83.25
43.0,43.0,-37.75,83.25
44.0,44.0,-37.25,83.25
45.0,45.0,-36.75,83.25
46.0,46.0,-36.25,83.25
47.0,47.0,-35.75,83.25
48.0,48.0,-35.25,83.25
49.0,49.0,-34.75,83.25
50.0,50.0,-34.25,83.25
51.0,51.0,-33.75,83.25
52.0,52.0,-33.25,83.25
53.0,53.0,-32.75,83.25
54.0,54.0,-32.25,83.25
55.0,55.0,-31.75,83.25
56.0,56.0,-31.25,83.25
57.0,57.0,-30.75,83.25
58.0,58.0,-30.25,83.25
59.0,59.0,-29.75,83.25
60.0,60.0,-29.25,83.25
61.0,61.0,-28.75,83.25
62.0,62.0,-28.25,83.25
63.0,63.0,-27.75,83.25
64.0,64.0,-27.25,83.25
65.0,65.0,-26.75,83.25
66.0,66.0,-26.25,83.25
67.0,67.0,-25.75,83.25
68.0,68.0,-25.25,83.25
69.0,69.0,-24.75,83.25
70.0,70.0,-82.25,82.75
71.0,71.0,-81.75,82.75
72.0,72.0,-81.25,82.75
73.0,73.0,-80.75,82.75
74.0,74.0,-80.25,82.75
75.0,75.0,-79.75,82.75
76.0,76.0,-79.25,82.75
77.0,77.0,-78.75,82.75
78.0,78.0,-78.25,82.75
79.0,79.0,-77.75,82.75
80.0,80.0,-77.25,82.75
81.0,81.0,-76.75,82.75
82.0,82.0,-76.25,82.75
83.0,83.0,-75.75,82.75
84.0,84.0,-75.25,82.75
85.0,85.0,-74.75,82.75
86.0,86.0,-74.25,82.75
87.0,87.0,-73.75,82.75
88.0,88.0,-73.25,82.75
89.0,89.0,-72.75,82.75
90.0,90.0,-72.25,82.75
91.0,91.0,-71.75,82.75
92.0,92.0,-71.25,82.75
93.0,93.0,-70.75,82.75
94.0,94.0,-70.25,82.75
95.0,95.0,-69.75,82.75
96.0,96.0,-69.25,82.75
97.0,97.0,-68.75,82.75
98.0,98.0,-68.25,82.75
99.0,99.0,-67.75,82.75
100.0,100.0,-67.25,82.75
101.0,101.0,-66.75,82.75
102.0,102.0,-66.25,82.75
103.0,103.0,-65.75,82.75
104.0,104.0,-65.25,82.75
105.0,105.0,-64.75,82.75
106.0,106.0,-64.25,82.75
107.0,107.0,-63.75,82.75
108.0,108.0,-63.25,82.75
109.0,109.0,-62.25,82.75
110.0,110.0,-49.75,82.75
111.0,111.0,-49.25,82.75
112.0,112.0,-48.75,82.75
113.0,113.0,-48.25,82.75
114.0,114.0,-47.75,82.75
115.0,115.0,-47.25,82.75
116.0,116.0,-46.75,82.75
117.0,117.0,-46.25,82.75
118.0,118.0,-45.75,82.75
119.0,119.0,-45.25,82.75
120.0,120.0,-44.75,82.75
121.0,121.0,-44.25,82.75
122.0,122.0,-43.75,82.75
123.0,123.0,-43.25,82.75
124.0,124.0,-42.75,82.75
125.0,125.0,-42.25,82.75
126.0,126.0,-41.75,82.75
127.0,127.0,-41.25,82.75
128.0,128.0,-40.75,82.75
129.0,129.0,-40.25,82.75
130.0,130.0,-39.75,82.75
131.0,131.0,-39.25,82.75
132.0,132.0,-38.75,82.75
133.0,133.0,-38.25,82.75
134.0,134.0,-37.75,82.75
135.0,135.0,-37.25,82.75
136.0,136.0,-36.75,82.75
137.0,137.0,-36.25,82.75
138.0,138.0,-35.75,82.75
139.0,139.0,-35.25,82.75
140.0,140.0,-34.75,82.75
141.0,141.0,-34.25,82.75
142.0,142.0,-33.75,82.75
143.0,143.0,-33.25,82.75
144.0,144.0,-32.75,82.75
