cell_num,arc_id,longitude,latitude
1,1,-37.75,83.75
2,2,-37.25,83.75
3,3,-36.75,83.75
4,4,-36.25,83.75
5,5,-35.75,83.75
6,6,-35.25,83.75
7,7,-34.75,83.75
8,8,-34.25,83.75
9,9,-33.75,83.75
10,10,-33.25,83.75
11,11,-32.75,83.75
12,12,-32.25,83.75
13,13,-31.75,83.75
14,14,-31.25,83.75
15,15,-30.75,83.75
16,16,-30.25,83.75
17,17,-29.75,83.75
18,18,-29.25,83.75
19,19,-28.75,83.75
20,20,-72.25,83.25
21,21,-71.75,83.25
22,22,-70.75,83.25
23,23,-70.25,83.25
24,24,-69.75,83.25
25,25,-46.75,83.25
26,26,-46.25,83.25
27,27,-45.75,83.25
28,28,-45.25,83.25
29,29,-44.75,83.25
30,30,-44.25,83.25
31,31,-43.75,83.25
32,32,-43.25,83.25
33,33,-42.75,83.25
34,34,-42.25,83.25
35,35,-41.75,83.25
36,36,-41.25,83.25
37,37,-40.75,83.25
38,38,-40.25,83.25
39,39,-39.75,83.25
40,40,-39.25,83.25
41,41,-38.75,83.25
42,42,-38.25,83.25
43,43,-37.75,83.25
44,44,-37.25,83.25
45,45,-36.75,83.25
46,46,-36.25,83.25
47,47,-35.75,83.25
48,48,-35.25,83.25
49,49,-34.75,83.25
50,50,-34.25,83.25
51,51,-33.75,83.25
52,52,-33.25,83.25
53,53,-32.75,83.25
54,54,-32.25,83.25
55,55,-31.75,83.25
56,56,-31.25,83.25
57,57,-30.75,83.25
58,58,-30.25,83.25
59,59,-29.75,83.25
60,60,-29.25,83.25
61,61,-28.75,83.25
62,62,-28.25,83.25
63,63,-27.75,83.25
64,64,-27.25,83.25
65,65,-26.75,83.25
66,66,-26.25,83.25
67,67,-25.75,83.25
68,68,-25.25,83.25
69,69,-24.75,83.25
70,70,-82.25,82.75
71,71,-81.75,82.75
72,72,-81.25,82.75
73,73,-80.75,82.75
74,74,-80.25,82.75
75,75,-79.75,82.75
76,76,-79.25,82.75
77,77,-78.75,82.75
78,78,-78.25,82.75
79,79,-77.75,82.75
80,80,-77.25,82.75
81,81,-76.75,82.75
82,82,-76.25,82.75
83,83,-75.75,82.75
84,84,-75.25,82.75
85,85,-74.75,82.75
86,86,-74.25,82.75
87,87,-73.75,82.75
88,88,-73.25,82.75
89,89,-72.75,82.75
90,90,-72.25,82.75
91,91,-71.75,82.75
92,92,-71.25,82.75
93,93,-70.75,82.75
94,94,-70.25,82.75
95,95,-69.75,82.75
96,96,-69.25,82.75
97,97,-68.75,82.75
98,98,-68.25,82.75
99,99,-67.75,82.75
100,100,-67.25,82.75
101,101,-66.75,82.75
102,102,-66.25,82.75
103,103,-65.75,82.75
104,104,-65.25,82.75
105,105,-64.75,82.75
106,106,-64.25,82.75
107,107,-63.75,82.75
108,108,-63.25,82.75
109,109,-62.25,82.75
110,110,-49.75,82.75
111,111,-49.25,82.75
112,112,-48.75,82.75
113,113,-48.25,82.75
114,114,-47.75,82.75
115,115,-47.25,82.75
116,116,-46.75,82.75
117,117,-46.25,82.75
118,118,-45.75,82.75
119,119,-45.25,82.75
120,120,-44.75,82.75
121,121,-44.25,82.75
122,122,-43.75,82.75
123,123,-43.25,82.75
124,124,-42.75,82.75
125,125,-42.25,82.75
126,126,-41.75,82.75
127,127,-41.25,82.75
128,128,-40.75,82.75
129,129,-40.25,82.75
130,130,-39.75,82.75
131,131,-39.25,82.75
132,132,-38.75,82.75
133,133,-38.25,82.75
134,134,-37.75,82.75
135,135,-37.25,82.75
136,136,-36.75,82.75
137,137,-36.25,82.75
138,138,-35.75,82.75
139,139,-35.25,82.75
140,140,-34.75,82.75
141,141,-34.25,82.75
142,142,-33.75,82.75
143,143,-33.25,82.75
144,144,-32.75,82.75
145,145,-32.25,82.75
146,146,-31.75,82.75
147,147,-31.25,82.75
148,148,-30.75,82.75
149,149,-30.25,82.75
150,150,-29.75,82.75
151,151,-29.25,82.75
152,152,-28.75,82.75
153,153,-28.25,82.75
154,154,-27.75,82.75
155,155,-27.25,82.75
156,156,-26.75,82.75
157,157,-26.25,82.75
158,158,-25.75,82.75
159,159,-25.25,82.75
160,160,-24.75,82.75
161,161,-24.25,82.75
162,162,-23.75,82.75
163,163,-23.25,82.75
164,164,-22.75,82.75
165,165,-22.25,82.75
166,166,-21.75,82.75
167,167,-21.25,82.75
168,168,-88.25,82.25
169,169,-87.75,82.25
170,170,-86.75,82.25
171,171,-86.25,82.25
172,172,-85.75,82.25
173,173,-85.25,82.25
174,174,-84.75,82.25
175,175,-84.25,82.25
176,176,-83.75,82.25
177,177,-83.25,82.25
178,178,-82.75,82.25
179,179,-82.25,82.25
180,180,-81.75,82.25
181,181,-81.25,82.25
182,182,-80.75,82.25
183,183,-80.25,82.25
184,184,-79.75,82.25
185,185,-79.25,82.25
186,186,-78.75,82.25
187,187,-78.25,82.25
188,188,-77.75,82.25
189,189,-77.25,82.25
190,190,-76.75,82.25
191,191,-76.25,82.25
192,192,-75.75,82.25
193,193,-75.25,82.25
194,194,-74.75,82.25
195,195,-74.25,82.25
196,196,-73.75,82.25
197,197,-73.25,82.25
198,198,-72.75,82.25
199,199,-72.25,82.25
200,200,-71.75,82.25
201,201,-71.25,82.25
202,202,-70.75,82.25
203,203,-70.25,82.25
204,204,-69.75,82.25
205,205,-69.25,82.25
206,206,-68.75,82.25
207,207,-68.25,82.25
208,208,-67.75,82.25
209,209,-67.25,82.25
210,210,-66.75,82.25
211,211,-66.25,82.25
212,212,-65.75,82.25
213,213,-65.25,82.25
214,214,-64.75,82.25
215,215,-64.25,82.25
216,216,-63.75,82.25
217,217,-63.25,82.25
218,218,-62.75,82.25
219,219,-62.25,82.25
220,220,-61.75,82.25
221,221,-61.25,82.25
222,222,-59.75,82.25
223,223,-58.75,82.25
224,224,-58.25,82.25
225,225,-57.75,82.25
226,226,-57.25,82.25
227,227,-56.75,82.25
228,228,-56.25,82.25
229,229,-55.75,82.25
230,230,-55.25,82.25
231,231,-54.75,82.25
232,232,-54.25,82.25
233,233,-53.75,82.25
234,234,-53.25,82.25
235,235,-52.75,82.25
236,236,-52.25,82.25
237,237,-51.75,82.25
238,238,-51.25,82.25
239,239,-50.75,82.25
240,240,-50.25,82.25
241,241,-49.75,82.25
242,242,-49.25,82.25
243,243,-48.75,82.25
244,244,-48.25,82.25
245,245,-47.75,82.25
246,246,-47.25,82.25
247,247,-46.75,82.25
248,248,-46.25,82.25
249,249,-45.75,82.25
250,250,-45.25,82.25
251,251,-44.75,82.25
252,252,-44.25,82.25
253,253,-43.75,82.25
254,254,-43.25,82.25
255,255,-42.75,82.25
256,256,-42.25,82.25
257,257,-41.75,82.25
258,258,-41.25,82.25
259,259,-40.75,82.25
260,260,-40.25,82.25
261,261,-39.75,82.25
262,262,-39.25,82.25
263,263,-38.75,82.25
264,264,-38.25,82.25
265,265,-37.75,82.25
266,266,-37.25,82.25
267,267,-36.75,82.25
268,268,-36.25,82.25
269,269,-35.75,82.25
270,270,-35.25,82.25
271,271,-34.75,82.25
272,272,-34.25,82.25
273,273,-33.75,82.25
274,274,-33.25,82.25
275,275,-32.75,82.25
276,276,-32.25,82.25
277,277,-31.75,82.25
278,278,-31.25,82.25
279,279,-30.75,82.25
280,280,-30.25,82.25
281,281,-29.75,82.25
282,282,-29.25,82.25
283,283,-28.75,82.25
284,284,-28.25,82.25
285,285,-27.75,82.25
286,286,-27.25,82.25
287,287,-26.75,82.25
288,288,-26.25,82.25
289,289,-25.75,82.25
290,290,-25.25,82.25
291,291,-24.75,82.25
292,292,-24.25,82.25
293,293,-23.75,82.25
294,294,-23.25,82.25
295,295,-22.75,82.25
296,296,-22.25,82.25
297,297,-21.75,82.25
298,298,-21.25,82.25
299,299,-20.75,82.25
300,300,-20.25,82.25
301,301,-19.75,82.25
302,302,-19.25,82.25
303,303,-91.75,81.75
304,304,-91.25,81.75
305,305,-90.75,81.75
306,306,-90.25,81.75
307,307,-89.75,81.75
308,308,-89.25,81.75
309,309,-88.75,81.75
310,310,-88.25,81.75
311,311,-87.75,81.75
312,312,-87.25,81.75
313,313,-86.75,81.75
314,314,-86.25,81.75
315,315,-85.75,81.75
316,316,-85.25,81.75
317,317,-84.75,81.75
318,318,-84.25,81.75
319,319,-83.75,81.75
320,320,-83.25,81.75
321,321,-82.75,81.75
322,322,-82.25,81.75
323,323,-81.75,81.75
324,324,-81.25,81.75
325,325,-80.75,81.75
326,326,-80.25,81.75
327,327,-79.75,81.75
328,328,-79.25,81.75
329,329,-78.75,81.75
330,330,-78.25,81.75
331,331,-77.75,81.75
332,332,-77.25,81.75
333,333,-76.75,81.75
334,334,-76.25,81.75
335,335,-75.75,81.75
336,336,-75.25,81.75
337,337,-74.75,81.75
338,338,-74.25,81.75
339,339,-73.75,81.75
340,340,-73.25,81.75
341,341,-72.75,81.75
342,342,-72.25,81.75
343,343,-71.75,81.75
344,344,-71.25,81.75
345,345,-70.75,81.75
346,346,-70.25,81.75
347,347,-69.75,81.75
348,348,-69.25,81.75
349,349,-68.75,81.75
350,350,-68.25,81.75
351,351,-67.75,81.75
352,352,-67.25,81.75
353,353,-66.75,81.75
354,354,-66.25,81.75
355,355,-65.75,81.75
356,356,-65.25,81.75
357,357,-64.75,81.75
358,358,-64.25,81.75
359,359,-63.75,81.75
360,360,-63.25,81.75
361,361,-62.75,81.75
362,362,-61.75,81.75
363,363,-61.25,81.75
364,364,-60.75,81.75
365,365,-60.25,81.75
366,366,-59.75,81.75
367,367,-59.25,81.75
368,368,-58.75,81.75
369,369,-58.25,81.75
370,370,-57.75,81.75
371,371,-57.25,81.75
372,372,-56.75,81.75
373,373,-56.25,81.75
374,374,-55.75,81.75
375,375,-55.25,81.75
376,376,-54.75,81.75
377,377,-54.25,81.75
378,378,-53.75,81.75
379,379,-53.25,81.75
380,380,-52.75,81.75
381,381,-52.25,81.75
382,382,-51.75,81.75
383,383,-51.25,81.75
384,384,-50.75,81.75
385,385,-50.25,81.75
386,386,-49.75,81.75
387,387,-49.25,81.75
388,388,-48.75,81.75
389,389,-48.25,81.75
390,390,-47.75,81.75
391,391,-47.25,81.75
392,392,-46.75,81.75
393,393,-46.25,81.75
394,394,-45.75,81.75
395,395,-45.25,81.75
396,396,-44.75,81.75
397,397,-44.25,81.75
398,398,-43.75,81.75
399,399,-43.25,81.75
400,400,-42.75,81.75
401,401,-42.25,81.75
402,402,-41.75,81.75
403,403,-41.25,81.75
404,404,-40.75,81.75
405,405,-40.25,81.75
406,406,-39.75,81.75
407,407,-39.25,81.75
408,408,-38.75,81.75
409,409,-38.25,81.75
410,410,-37.75,81.75
411,411,-37.25,81.75
412,412,-36.75,81.75
413,413,-36.25,81.75
414,414,-35.75,81.75
415,415,-35.25,81.75
416,416,-34.75,81.75
417,417,-34.25,81.75
418,418,-33.75,81.75
419,419,-33.25,81.75
420,420,-32.75,81.75
421,421,-32.25,81.75
422,422,-31.75,81.75
423,423,-31.25,81.75
424,424,-30.75,81.75
425,425,-30.25,81.75
426,426,-29.75,81.75
427,427,-29.25,81.75
428,428,-28.75,81.75
429,429,-28.25,81.75
430,430,-27.75,81.75
431,431,-27.25,81.75
432,432,-26.75,81.75
433,433,-26.25,81.75
434,434,-25.75,81.75
435,435,-25.25,81.75
436,436,-24.75,81.75
437,437,-24.25,81.75
438,438,-23.75,81.75
439,439,-23.25,81.75
440,440,-22.75,81.75
441,441,-22.25,81.75
442,442,-21.75,81.75
443,443,-21.25,81.75
444,444,-20.75,81.75
445,445,-20.25,81.75
446,446,-19.75,81.75
447,447,-19.25,81.75
448,448,-18.75,81.75
