cell_num,arc_id,longitude,latitude
1,1,-38.25,83.75
2,2,-37.75,83.75
3,3,-37.25,83.75
4,4,-36.75,83.75
5,5,-36.25,83.75
6,6,-35.75,83.75
7,7,-35.25,83.75
8,8,-34.75,83.75
9,9,-34.25,83.75
10,10,-33.75,83.75
11,11,-33.25,83.75
12,12,-32.75,83.75
13,13,-32.25,83.75
14,14,-31.75,83.75
15,15,-31.25,83.75
16,16,-30.75,83.75
17,17,-30.25,83.75
18,18,-29.75,83.75
19,19,-29.25,83.75
20,20,-28.75,83.75
21,21,-28.25,83.75
22,22,-73.25,83.25
23,23,-72.75,83.25
24,24,-72.25,83.25
25,25,-71.75,83.25
26,26,-71.25,83.25
27,27,-70.75,83.25
28,28,-70.25,83.25
29,29,-69.75,83.25
30,30,-69.25,83.25
31,31,-68.75,83.25
32,32,-68.25,83.25
33,33,-45.75,83.25
34,34,-45.25,83.25
35,35,-44.75,83.25
36,36,-44.25,83.25
37,37,-43.75,83.25
38,38,-43.25,83.25
39,39,-42.75,83.25
40,40,-42.25,83.25
41,41,-41.75,83.25
42,42,-41.25,83.25
43,43,-40.75,83.25
44,44,-40.25,83.25
45,45,-39.75,83.25
46,46,-39.25,83.25
47,47,-38.75,83.25
48,48,-38.25,83.25
49,49,-37.75,83.25
50,50,-37.25,83.25
51,51,-36.75,83.25
52,52,-36.25,83.25
53,53,-35.75,83.25
54,54,-35.25,83.25
55,55,-34.75,83.25
56,56,-34.25,83.25
57,57,-33.75,83.25
58,58,-33.25,83.25
59,59,-32.75,83.25
60,60,-32.25,83.25
61,61,-31.75,83.25
62,62,-31.25,83.25
63,63,-30.75,83.25
64,64,-30.25,83.25
65,65,-29.75,83.25
66,66,-29.25,83.25
67,67,-28.75,83.25
68,68,-28.25,83.25
69,69,-85.75,82.75
70,70,-85.25,82.75
71,71,-84.75,82.75
72,72,-81.75,82.75
73,73,-81.25,82.75
74,74,-80.75,82.75
75,75,-80.25,82.75
76,76,-79.75,82.75
77,77,-79.25,82.75
78,78,-78.75,82.75
79,79,-78.25,82.75
80,80,-77.75,82.75
81,81,-77.25,82.75
82,82,-76.75,82.75
83,83,-76.25,82.75
84,84,-75.75,82.75
85,85,-75.25,82.75
86,86,-74.75,82.75
87,87,-74.25,82.75
88,88,-73.75,82.75
89,89,-73.25,82.75
90,90,-72.75,82.75
91,91,-72.25,82.75
92,92,-71.75,82.75
93,93,-71.25,82.75
94,94,-70.75,82.75
95,95,-70.25,82.75
96,96,-69.75,82.75
97,97,-69.25,82.75
98,98,-68.75,82.75
99,99,-68.25,82.75
100,100,-67.75,82.75
101,101,-67.25,82.75
102,102,-66.75,82.75
103,103,-66.25,82.75
104,104,-65.75,82.75
105,105,-65.25,82.75
106,106,-64.75,82.75
107,107,-64.25,82.75
108,108,-63.75,82.75
109,109,-63.25,82.75
110,110,-62.75,82.75
111,111,-62.25,82.75
112,112,-47.75,82.75
113,113,-47.25,82.75
114,114,-46.75,82.75
115,115,-46.25,82.75
116,116,-45.75,82.75
117,117,-45.25,82.75
118,118,-44.75,82.75
119,119,-44.25,82.75
120,120,-43.75,82.75
121,121,-43.25,82.75
122,122,-42.75,82.75
123,123,-42.25,82.75
124,124,-41.75,82.75
125,125,-41.25,82.75
126,126,-40.75,82.75
127,127,-40.25,82.75
128,128,-39.75,82.75
129,129,-39.25,82.75
130,130,-38.75,82.75
131,131,-38.25,82.75
132,132,-37.75,82.75
133,133,-37.25,82.75
134,134,-36.75,82.75
135,135,-36.25,82.75
136,136,-35.75,82.75
137,137,-35.25,82.75
138,138,-34.75,82.75
139,139,-34.25,82.75
140,140,-33.75,82.75
141,141,-33.25,82.75
142,142,-32.75,82.75
143,143,-32.25,82.75
144,144,-31.75,82.75
145,145,-31.25,82.75
146,146,-30.75,82.75
147,147,-30.25,82.75
148,148,-29.75,82.75
149,149,-29.25,82.75
150,150,-28.75,82.75
151,151,-28.25,82.75
152,152,-27.75,82.75
153,153,-27.25,82.75
154,154,-26.75,82.75
155,155,-26.25,82.75
156,156,-25.75,82.75
157,157,-25.25,82.75
158,158,-24.75,82.75
159,159,-24.25,82.75
160,160,-23.75,82.75
161,161,-23.25,82.75
162,162,-88.75,82.25
163,163,-88.25,82.25
164,164,-87.75,82.25
165,165,-87.25,82.25
166,166,-86.75,82.25
167,167,-86.25,82.25
168,168,-85.75,82.25
169,169,-85.25,82.25
170,170,-84.75,82.25
171,171,-84.25,82.25
172,172,-83.75,82.25
173,173,-83.25,82.25
174,174,-82.75,82.25
175,175,-82.25,82.25
176,176,-81.75,82.25
177,177,-81.25,82.25
178,178,-80.75,82.25
179,179,-80.25,82.25
180,180,-79.75,82.25
181,181,-79.25,82.25
182,182,-78.75,82.25
183,183,-78.25,82.25
184,184,-77.75,82.25
185,185,-77.25,82.25
186,186,-76.75,82.25
187,187,-76.25,82.25
188,188,-75.75,82.25
189,189,-75.25,82.25
190,190,-74.75,82.25
191,191,-74.25,82.25
192,192,-73.75,82.25
